Song,Artist,query_idx,channel_artist_same,video_title,video_channel,video_url
They Got Us,!Dris,1,False,"doris day - que sera, sera [lyrics]",buciudeculufilm,https://www.youtube.com/watch?v=CcWbZUgymkw
Wild Card,!Ntell!Gent Des!Gn| DJ Shoba,0,True,wild card,!ntell!gent des!gn - topic,https://www.youtube.com/watch?v=R6rkIrx4dZ4
!Dela Dap - The Song,!Dela Dap,8,False,deladap - dirty jazz [official audio],deladap,https://www.youtube.com/watch?v=Z0M_bCSOtVU
So Shunes,!Dela Dap,9,False,born to shine lyrics – diljit dosanjh |amrit maan | latest punjabi song,lyricsbag,https://www.youtube.com/watch?v=chmAxyFIVGY
You Dont Know My Name,!Creekside,0,True,you dont know my name,creekside - topic,https://www.youtube.com/watch?v=F-9Spf9SdUQ
Ready 4 Me,!Dris,6,False,the weeknd - die for you (lyrics),latinhype,https://www.youtube.com/watch?v=CVw7iulcI98
Destinys Love Song  (Destinys Child Tribute),!Creekside,0,True,destinys love song (destinys child tribute),creekside - topic,https://www.youtube.com/watch?v=2XQIh2oEEX4
Angelo (Radio Edit),!Dela Dap,1,False,deladap - crazy swing ft. m. stoika - radio edit [official audio],deladap,https://www.youtube.com/watch?v=X3qLUbihtp4
Me Kamav Tu,!Dela Dap,1,True,!deladap - me kamav tu,a,https://www.youtube.com/watch?v=_g8mEeY5QFI
Goldregen (N.O.H.A.-Mix / Extended-Club-Version),!Dela Dap,1,False,deladap - skyrocket - rejazzed [official audio],deladap,https://www.youtube.com/watch?v=ulc5RiIgm_M
Na Na Na,!a!,3,False,akon - right now na na na (lyrics),cakes & eclairs,https://www.youtube.com/watch?v=7ixTSPHMqaQ
Anything,!a!,1,False,anything a anything - vybz kartel ft. gaza slim w/ lyrics,yucravekathyx3,https://www.youtube.com/watch?v=pnI9_6j-eq4
Loser,!NTELLIGENT Electro Pop,6,False,loser - charlie puth (lyrics),caramel,https://www.youtube.com/watch?v=fmDxgt7lIUU
Through the Trees,!Estevan,0,True,through the trees,!estevan - topic,https://www.youtube.com/watch?v=ajs4xPGHiAg
Spain e Blaka,!Dela Dap,0,True,spain e blaka,!dela dap - topic,https://www.youtube.com/watch?v=5DFuQMBgynU
Why - Bootlicking Hypocrites,!distain,5,True,why (bootlicking hypocrites),!distain - topic,https://www.youtube.com/watch?v=VjT9FnlOpEo
Blackberry Morning,!distain,6,True,west end girl - !distain feat. katrin p.,!distain - topic,https://www.youtube.com/watch?v=hUyd350wO9Q
The White Shadow,!distain,1,True,the white shadow (exclusive b-side),!distain - topic,https://www.youtube.com/watch?v=-EVHnpHgrG4
Monokultur,!distain,7,True,monokultur,!distain - topic,https://www.youtube.com/watch?v=VuSGxuiFz6U
Dance in Heaven,!distain,2,True,dance in heaven,!distain - topic,https://www.youtube.com/watch?v=AsUXwTMRIy8
Lighthouse over the Horizon,!distain,2,True,lighthouse ove the horizon,!distain - topic,https://www.youtube.com/watch?v=66cXTBXRW_I
Mein weg,!distain,5,True,mein weg,!distain - topic,https://www.youtube.com/watch?v=0_PSwW8KzRI
The Fla,!distain,0,True,the fla (!distain vs. rotersand),!distain - topic,https://www.youtube.com/watch?v=x7hBbsYG-cI
Beyond The Grave,!magnic!,0,True,beyond the grave,!magnic! - topic,https://www.youtube.com/watch?v=6U-ojqrfugk
